location,types,name
BTM,Buffet,14
BTM,Cafes,37
BTM,Delivery,1151
BTM,Desserts,99
BTM,Dineout,728
BTM,Drinks and nightlife,13
BTM,Pubs and bars,12
Banashankari,Buffet,5
Banashankari,Cafes,24
Banashankari,Delivery,240
Banashankari,Desserts,46
Banashankari,Dineout,236
Banashankari,Drinks and nightlife,7
Banaswadi,Cafes,13
Banaswadi,Delivery,157
Banaswadi,Desserts,19
Banaswadi,Dineout,198
Banaswadi,Drinks and nightlife,4
Banaswadi,Pubs and bars,1
Bannerghatta Road,Buffet,8
Bannerghatta Road,Cafes,26
Bannerghatta Road,Delivery,496
Bannerghatta Road,Desserts,88
Bannerghatta Road,Dineout,384
Bannerghatta Road,Drinks and nightlife,9
Bannerghatta Road,Pubs and bars,2
Basavanagudi,Buffet,3
Basavanagudi,Cafes,8
Basavanagudi,Delivery,183
Basavanagudi,Desserts,45
Basavanagudi,Dineout,189
Basavanagudi,Drinks and nightlife,2
Bellandur,Buffet,24
Bellandur,Cafes,31
Bellandur,Delivery,454
Bellandur,Desserts,59
Bellandur,Dineout,392
Bellandur,Drinks and nightlife,16
Bellandur,Pubs and bars,14
Brigade Road,Buffet,11
Brigade Road,Cafes,23
Brigade Road,Delivery,216
Brigade Road,Desserts,46
Brigade Road,Dineout,243
Brigade Road,Drinks and nightlife,50
Brigade Road,Pubs and bars,21
Brookefield,Buffet,6
Brookefield,Cafes,17
Brookefield,Delivery,266
Brookefield,Desserts,38
Brookefield,Dineout,197
Brookefield,Drinks and nightlife,4
Church Street,Buffet,19
Church Street,Cafes,43
Church Street,Delivery,134
Church Street,Desserts,19
Church Street,Dineout,168
Church Street,Drinks and nightlife,30
Church Street,Pubs and bars,21
Electronic City,Buffet,22
Electronic City,Cafes,24
Electronic City,Delivery,547
Electronic City,Desserts,71
Electronic City,Dineout,504
Electronic City,Drinks and nightlife,21
Electronic City,Pubs and bars,21
Frazer Town,Buffet,1
Frazer Town,Cafes,10
Frazer Town,Delivery,243
Frazer Town,Desserts,44
Frazer Town,Dineout,138
Frazer Town,Drinks and nightlife,2
Frazer Town,Pubs and bars,2
HSR,Buffet,14
HSR,Cafes,42
HSR,Delivery,963
HSR,Desserts,106
HSR,Dineout,445
HSR,Drinks and nightlife,14
HSR,Pubs and bars,14
Indiranagar,Buffet,38
Indiranagar,Cafes,92
Indiranagar,Delivery,774
Indiranagar,Desserts,128
Indiranagar,Dineout,495
Indiranagar,Drinks and nightlife,63
Indiranagar,Pubs and bars,64
JP Nagar,Buffet,25
JP Nagar,Cafes,41
JP Nagar,Delivery,612
JP Nagar,Desserts,100
JP Nagar,Dineout,490
JP Nagar,Drinks and nightlife,40
JP Nagar,Pubs and bars,7
Jayanagar,Buffet,18
Jayanagar,Cafes,50
Jayanagar,Delivery,492
Jayanagar,Desserts,111
Jayanagar,Dineout,412
Jayanagar,Drinks and nightlife,12
Kalyan Nagar,Buffet,9
Kalyan Nagar,Cafes,24
Kalyan Nagar,Delivery,187
