location,book_table,name
BTM,No,1940
BTM,Yes,114
Banashankari,No,515
Banashankari,Yes,43
Banaswadi,No,386
Banaswadi,Yes,6
Bannerghatta Road,No,935
Bannerghatta Road,Yes,78
Basavanagudi,No,422
Basavanagudi,Yes,8
Bellandur,No,897
Bellandur,Yes,93
Brigade Road,No,469
Brigade Road,Yes,141
Brookefield,No,455
Brookefield,Yes,73
Church Street,No,269
Church Street,Yes,165
Electronic City,No,1114
Electronic City,Yes,96
Frazer Town,No,432
Frazer Town,Yes,8
HSR,No,1421
HSR,Yes,177
Indiranagar,No,1221
Indiranagar,Yes,433
JP Nagar,No,1065
JP Nagar,Yes,250
Jayanagar,No,884
Jayanagar,Yes,211
Kalyan Nagar,No,434
Kalyan Nagar,Yes,116
Kammanahalli,No,355
Kammanahalli,Yes,34
Koramangala five Block,No,833
Koramangala five Block,Yes,584
Koramangala four Block,No,281
Koramangala four Block,Yes,238
Koramangala one Block,No,393
Koramangala one Block,Yes,42
Koramangala seven Block,No,384
Koramangala seven Block,Yes,125
Koramangala six  Block,No,424
Koramangala six  Block,Yes,76
Lavelle Road,No,173
Lavelle Road,Yes,201
MG Road,No,254
MG Road,Yes,264
Malleshwaram,No,469
Malleshwaram,Yes,81
Marathahalli,No,1369
Marathahalli,Yes,154
New BEL Road,No,527
New BEL Road,Yes,55
Old Airport Road,No,290
Old Airport Road,Yes,57
Rajajinagar,No,416
Rajajinagar,Yes,40
Residency Road,No,262
Residency Road,Yes,115
Richmond Road,No,241
Richmond Road,Yes,78
Sarjapur Road,No,721
Sarjapur Road,Yes,145
Ulsoor,No,386
Ulsoor,Yes,105
Whitefield,No,1558
Whitefield,Yes,246
other,No,4079
other,Yes,599
